"party","Vote_change_dummy","Vote52","Contribution_52_minus","Contribution_52_plus","Vote52_minus","Vote52_plus"
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",1,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",1,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"D",1,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",1,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",1,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",1,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"R",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"R",0,"-",NA,NA,1,0
"D",0,"+",NA,NA,0,1
"D",0,"+",NA,NA,0,1
"R",0,"+",NA,NA,0,1
"R",0,"-",NA,NA,1,0
