"Representative","State","Amount"
"Boustany Charles Jr (R-LA)","Louisiana","$121700"
"Brady Kevin (R-TX)","Texas","$82500"
"Ryan Paul (R-WI)","Wisconsin","$81975"
"Shuster Bill (R-PA)","Pennsylvania","$64500"
"Upton Fred (R-MI)","Michigan","$52600"
"Olson Pete (R-TX)","Texas","$49800"
"Shimkus John (R-IL)","Illinois","$46000"
"Denham Jeff (R-CA)","California","$42999"
"Green Gene (D-TX)","Texas","$41500"
"Johnson Bill (R-OH)","Ohio","$40000"
"Mullin Markwayne (R-OK)","Oklahoma","$36800"
"Graves Garret (R-LA)","Louisiana","$35000"
"Reed Tom (R-NY)","New York","$31900"
"Meehan Patrick (R-PA)","Pennsylvania","$30300"
"Young Todd (R-IN)","Indiana","$29866"
"Sessions Pete (R-TX)","Texas","$27600"
"Scalise Steve (R-LA)","Louisiana","$26750"
"Bishop Rob (R-UT)","Utah","$25750"
"Pompeo Mike (R-KS)","Kansas","$25500"
"McCarthy Kevin (R-CA)","California","$24800"
"Cramer Kevin (R-ND)","North Dakota","$23500"
"Culberson John (R-TX)","Texas","$22825"
"Cuellar Henry (D-TX)","Texas","$22500"
"Thompson Glenn (R-PA)","Pennsylvania","$22200"
"Collins Chris (R-NY)","New York","$22000"
"Murphy Tim (R-PA)","Pennsylvania","$21500"
"Kelly Mike (R-PA)","Pennsylvania","$21412"
"Costa Jim (D-CA)","California","$21000"
"Hurd Will (R-TX)","Texas","$20900"
"Comstock Barbara (R-VA)","Virginia","$19000"
"Doyle Mike (D-PA)","Pennsylvania","$19000"
"Heck Joe (R-NV)","Nevada","$18866"
"Barton Joe (R-TX)","Texas","$18450"
"Walden Greg (R-OR)","Oregon","$18000"
"Flores Bill (R-TX)","Texas","$17500"
"McCaul Michael (R-TX)","Texas","$17100"
"McKinley David (R-WV)","West Virginia","$17000"
"Kinzinger Adam (R-IL)","Illinois","$16500"
"Issa Darrell (R-CA)","California","$16100"
"MacArthur Thomas (R-NJ)","New Jersey","$15900"
"Marchant Kenny (R-TX)","Texas","$15700"
"Davis Rodney (R-IL)","Illinois","$15500"
"Hudson Richard (R-NC)","North Carolina","$15200"
"Hoyer Steny H (D-MD)","Maryland","$15000"
"Schrader Kurt (D-OR)","Oregon","$15000"
"LaHood Darin (R-IL)","Illinois","$14700"
"Stewart Chris (R-UT)","Utah","$14400"
"Larsen Rick (D-WA)","Washington","$14000"
"Pittenger Robert (R-NC)","North Carolina","$13900"
"Cole Tom (R-OK)","Oklahoma","$13700"
"Blackburn Marsha (R-TN)","Tennessee","$13500"
"Cook Paul (R-CA)","California","$13500"
"Farenthold Blake (R-TX)","Texas","$13500"
"Pallone Frank Jr (D-NJ)","New Jersey","$13400"
"Stivers Steve (R-OH)","Ohio","$12500"
"Dold Bob (R-IL)","Illinois","$12250"
"Rothfus Keith J (R-PA)","Pennsylvania","$12050"
"Lujan Ben Ray (D-NM)","New Mexico","$12000"
"Rush Bobby (D-IL)","Illinois","$12000"
"Beyer Don (D-VA)","Virginia","$11600"
"Hultgren Randy (R-IL)","Illinois","$11000"
"Jenkins Lynn (R-KS)","Kansas","$11000"
"Duncan Jeff (R-SC)","South Carolina","$10500"
"Perry Scott (R-PA)","Pennsylvania","$10500"
"LaMalfa Doug (R-CA)","California","$10250"
"Pearce Steve (R-NM)","New Mexico","$10000"
"Thompson Bennie G (D-MS)","Mississippi","$10000"
"Boehner John (R-OH)","Ohio","$9850"
"Costello Ryan (R-PA)","Pennsylvania","$9500"
"Barletta Lou (R-PA)","Pennsylvania","$9000"
"Katko John (R-NY)","New York","$9000"
"Mooney Alex (R-WV)","West Virginia","$9000"
"Hensarling Jeb (R-TX)","Texas","$8900"
"Higgins Brian M (D-NY)","New York","$8850"
"Harper Gregg (R-MS)","Mississippi","$8500"
"Lamborn Doug (R-CO)","Colorado","$8500"
"Nunes Devin (R-CA)","California","$8500"
"Murphy Patrick (D-FL)","Florida","$8200"
"Guthrie Brett (R-KY)","Kentucky","$8000"
"Babin Brian (R-TX)","Texas","$7700"
"Hill French (R-AR)","Arkansas","$7700"
"Latta Bob (R-OH)","Ohio","$7500"
"Zinke Ryan (R-MT)","Montana","$7500"
"Poe Ted (R-TX)","Texas","$7400"
"Cardenas Tony (D-CA)","California","$7300"
"Zeldin Lee (R-NY)","New York","$7250"
"Hardy Cresent (R-NV)","Nevada","$7000"
"Lance Leonard (R-NJ)","New Jersey","$7000"
"Norcross Don (D-NJ)","New Jersey","$7000"
"Rodgers Cathy McMorris (R-WA)","Washington","$7000"
"Vela Filemon (D-TX)","Texas","$7000"
"Welch Peter (D-VT)","Vermont","$7000"
"McHenry Patrick (R-NC)","North Carolina","$6500"
"Russell Steven (R-OK)","Oklahoma","$6500"
"Tipton Scott (R-CO)","Colorado","$6500"
"Ratcliffe John (R-TX)","Texas","$6400"
"Abraham Ralph (R-LA)","Louisiana","$6250"
"Crowley Joseph (D-NY)","New York","$6000"
"Lucas Frank D (R-OK)","Oklahoma","$6000"
"Tiberi Pat (R-OH)","Ohio","$6000"
"Wagner Ann (R-MO)","Missouri","$6000"
"Peters Scott (D-CA)","California","$5900"
"Weber Randy (R-TX)","Texas","$5750"
"Johnson Sam (R-TX)","Texas","$5700"
"Buck Ken (R-CO)","Colorado","$5500"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$5500"
"Holding George (R-NC)","North Carolina","$5500"
"Labrador Raul (R-ID)","Idaho","$5500"
"LoBiondo Frank (R-NJ)","New Jersey","$5500"
"Long Billy (R-MO)","Missouri","$5500"
"Stefanik Elise (R-NY)","New York","$5500"
"Goodlatte Bob (R-VA)","Virginia","$5450"
"Roskam Peter (R-IL)","Illinois","$5450"
"Foster Bill (D-IL)","Illinois","$5400"
"Van Hollen Chris (D-MD)","Maryland","$5325"
"Newhouse Dan (R-WA)","Washington","$5150"
"Dent Charlie (R-PA)","Pennsylvania","$5000"
"Foxx Virginia (R-NC)","North Carolina","$5000"
"Huffman Jared (D-CA)","California","$5000"
"Napolitano Grace (D-CA)","California","$5000"
"Richmond Cedric (D-LA)","Louisiana","$5000"
"Simpson Mike (R-ID)","Idaho","$5000"
"Walters Mimi (R-CA)","California","$5000"
"Reichert Dave (R-WA)","Washington","$4750"
"Ellmers Renee (R-NC)","North Carolina","$4500"
"Fleischmann Chuck (R-TN)","Tennessee","$4500"
"Hurt Robert (R-VA)","Virginia","$4500"
"Loebsack David (D-IA)","Iowa","$4500"
"Renacci Jim (R-OH)","Ohio","$4500"
"Coffman Mike (R-CO)","Colorado","$4450"
"DeSantis Ron (R-FL)","Florida","$4425"
"Marino Tom (R-PA)","Pennsylvania","$4250"
"Bustos Cheri (D-IL)","Illinois","$4000"
"Byrne Bradley (R-AL)","Alabama","$4000"
"Calvert Ken (R-CA)","California","$4000"
"Curbelo Carlos (R-FL)","Florida","$4000"
"Dingell Debbie (D-MI)","Michigan","$4000"
"Israel Steve (D-NY)","New York","$4000"
"Kaptur Marcy (D-OH)","Ohio","$4000"
"Maloney Sean Patrick (D-NY)","New York","$4000"
"McClintock Tom (R-CA)","California","$4000"
"Ryan Tim (D-OH)","Ohio","$4000"
"Tonko Paul (D-NY)","New York","$4000"
"Love Mia (R-UT)","Utah","$3800"
"Poliquin Bruce (R-ME)","Maine","$3800"
"Connolly Gerry (D-VA)","Virginia","$3750"
"Yoho Ted (R-FL)","Florida","$3750"
"Esty Elizabeth (D-CT)","Connecticut","$3700"
"Paulsen Erik (R-MN)","Minnesota","$3700"
"Blumenauer Earl (D-OR)","Oregon","$3650"
"Delaney John K (D-MD)","Maryland","$3500"
"Diaz-Balart Mario (R-FL)","Florida","$3500"
"Griffith Morgan (R-VA)","Virginia","$3500"
"Jolly David (R-FL)","Florida","$3500"
"Joyce David P (R-OH)","Ohio","$3500"
"Neal Richard E (D-MA)","Massachusetts","$3500"
"Palazzo Steven (R-MS)","Mississippi","$3500"
"Pitts Joe (R-PA)","Pennsylvania","$3500"
"Ruiz Raul (D-CA)","California","$3500"
"Torres Norma (D-CA)","California","$3500"
"Bridenstine James (R-OK)","Oklahoma","$3250"
"Beutler Jaime Herrera (R-WA)","Washington","$3100"
"Barr Andy (R-KY)","Kentucky","$3000"
"Black Diane (R-TN)","Tennessee","$3000"
"Boyle Brendan (D-PA)","Pennsylvania","$3000"
"Butterfield G K (D-NC)","North Carolina","$3000"
