"Representative","State","Amount"
"Boehner John (R-OH)","Ohio","$72800"
"Shuster Bill (R-PA)","Pennsylvania","$62100"
"McCarthy Kevin (R-CA)","California","$58300"
"Upton Fred (R-MI)","Michigan","$55700"
"Brady Kevin (R-TX)","Texas","$49950"
"Lankford James (R-OK)","Oklahoma","$46500"
"Capito Shelley Moore (R-WV)","West Virginia","$45650"
"Murphy Tim (R-PA)","Pennsylvania","$43500"
"Reed Tom (R-NY)","New York","$39950"
"Boustany Charles Jr (R-LA)","Louisiana","$38250"
"Jenkins Lynn (R-KS)","Kansas","$36500"
"Gardner Cory (R-CO)","Colorado","$35800"
"Olson Pete (R-TX)","Texas","$35500"
"Johnson Bill (R-OH)","Ohio","$35100"
"Kelly Mike (R-PA)","Pennsylvania","$34950"
"Pompeo Mike (R-KS)","Kansas","$31500"
"Thompson Glenn (R-PA)","Pennsylvania","$31450"
"Cotton Tom (R-AR)","Arkansas","$29800"
"Ryan Paul (R-WI)","Wisconsin","$26850"
"Meehan Patrick (R-PA)","Pennsylvania","$25600"
"Daines Steven (R-MT)","Montana","$25000"
"Costa Jim (D-CA)","California","$23999"
"Flores Bill (R-TX)","Texas","$23500"
"Whitfield Ed (R-KY)","Kentucky","$23500"
"Camp Dave (R-MI)","Michigan","$23499"
"Green Gene (D-TX)","Texas","$23100"
"Poe Ted (R-TX)","Texas","$21750"
"Cantor Eric (R-VA)","Virginia","$21375"
"Scalise Steve (R-LA)","Louisiana","$21100"
"Terry Lee (R-NE)","Nebraska","$21000"
"McKinley David (R-WV)","West Virginia","$20250"
"Gibbs Bob (R-OH)","Ohio","$20100"
"Barrow John (D-GA)","Georgia","$20000"
"McCaul Michael (R-TX)","Texas","$19500"
"Shimkus John (R-IL)","Illinois","$18000"
"Collins Chris (R-NY)","New York","$17800"
"Roskam Peter (R-IL)","Illinois","$17750"
"Rothfus Keith J (R-PA)","Pennsylvania","$16700"
"Cramer Kevin (R-ND)","North Dakota","$16500"
"Duncan Jeff (R-SC)","South Carolina","$16500"
"Ryan Tim (D-OH)","Ohio","$16500"
"Sessions Pete (R-TX)","Texas","$16300"
"Cuellar Henry (D-TX)","Texas","$16000"
"Kinzinger Adam (R-IL)","Illinois","$16000"
"Broun Paul (R-GA)","Georgia","$15600"
"Rahall Nick (D-WV)","West Virginia","$15600"
"Hoyer Steny H (D-MD)","Maryland","$15500"
"Hensarling Jeb (R-TX)","Texas","$15200"
"Latta Bob (R-OH)","Ohio","$15000"
"Mullin Markwayne (R-OK)","Oklahoma","$14600"
"Weber Randy (R-TX)","Texas","$14350"
"Blackburn Marsha (R-TN)","Tennessee","$13500"
"Doyle Mike (D-PA)","Pennsylvania","$13500"
"Kingston Jack (R-GA)","Georgia","$13350"
"Cole Tom (R-OK)","Oklahoma","$13000"
"Denham Jeff (R-CA)","California","$13000"
"Farenthold Blake (R-TX)","Texas","$13000"
"Cassidy Bill (R-LA)","Louisiana","$12850"
"Davis Rodney (R-IL)","Illinois","$12500"
"Harper Gregg (R-MS)","Mississippi","$12500"
"Clark Katherine (D-MA)","Massachusetts","$12400"
"LaMalfa Doug (R-CA)","California","$12000"
"Capuano Michael E (D-MA)","Massachusetts","$11400"
"Issa Darrell (R-CA)","California","$11350"
"Bishop Rob (R-UT)","Utah","$11000"
"Coffman Mike (R-CO)","Colorado","$10750"
"Hudson Richard (R-NC)","North Carolina","$10500"
"Perry Scott (R-PA)","Pennsylvania","$10500"
"Pitts Joe (R-PA)","Pennsylvania","$10500"
"Simpson Mike (R-ID)","Idaho","$10500"
"Cardenas Tony (D-CA)","California","$10000"
"Ellmers Renee (R-NC)","North Carolina","$10000"
"Hultgren Randy (R-IL)","Illinois","$10000"
"Lucas Frank D (R-OK)","Oklahoma","$10000"
"Johnson Sam (R-TX)","Texas","$9600"
"Barton Joe (R-TX)","Texas","$9500"
"Huffman Jared (D-CA)","California","$9500"
"Lance Leonard (R-NJ)","New Jersey","$9500"
"Larsen Rick (D-WA)","Washington","$9500"
"Pittenger Robert (R-NC)","North Carolina","$9500"
"Schock Aaron (R-IL)","Illinois","$9500"
"Joyce David P (R-OH)","Ohio","$9200"
"Hall Ralph (R-TX)","Texas","$9000"
"Lummis Cynthia (R-WY)","Wyoming","$9000"
"Noem Kristi (R-SD)","South Dakota","$9000"
"Guthrie Brett (R-KY)","Kentucky","$8750"
"Pearce Steve (R-NM)","New Mexico","$8600"
"Griffin Tim (R-AR)","Arkansas","$8500"
"Pallone Frank Jr (D-NJ)","New Jersey","$8500"
"Tiberi Pat (R-OH)","Ohio","$8500"
"Walden Greg (R-OR)","Oregon","$8500"
"Stewart Chris (R-UT)","Utah","$8250"
"Young Todd (R-IN)","Indiana","$8050"
"Garrett Scott (R-NJ)","New Jersey","$8000"
"Israel Steve (D-NY)","New York","$8000"
"Marchant Kenny (R-TX)","Texas","$8000"
"Marino Tom (R-PA)","Pennsylvania","$8000"
"Mica John L (R-FL)","Florida","$8000"
"Renacci Jim (R-OH)","Ohio","$8000"
"Kennedy Joe III (D-MA)","Massachusetts","$7800"
"Dent Charlie (R-PA)","Pennsylvania","$7500"
"Matheson Jim (D-UT)","Utah","$7500"
"Williams Roger (R-TX)","Texas","$7500"
"Fleming John (R-LA)","Louisiana","$7000"
"Gibson Chris (R-NY)","New York","$7000"
"Van Hollen Chris (D-MD)","Maryland","$7000"
"Himes Jim (D-CT)","Connecticut","$6500"
"Napolitano Grace (D-CA)","California","$6500"
"Welch Peter (D-VT)","Vermont","$6500"
"Larson John (D-CT)","Connecticut","$6100"
"Carter John (R-TX)","Texas","$6000"
"Culberson John (R-TX)","Texas","$6000"
"Fitzpatrick Michael G (R-PA)","Pennsylvania","$6000"
"Heck Joe (R-NV)","Nevada","$6000"
"Hurt Robert (R-VA)","Virginia","$6000"
"Nunes Devin (R-CA)","California","$6000"
"Rodgers Cathy McMorris (R-WA)","Washington","$6000"
"Thompson Bennie G (D-MS)","Mississippi","$6000"
"Tipton Scott (R-CO)","Colorado","$6000"
"Turner Michael R (R-OH)","Ohio","$6000"
"Crowley Joseph (D-NY)","New York","$5500"
"Gowdy Trey (R-SC)","South Carolina","$5500"
"McHenry Patrick (R-NC)","North Carolina","$5500"
"Stivers Steve (R-OH)","Ohio","$5500"
"Woodall Rob (R-GA)","Georgia","$5250"
"Miller Gary (R-CA)","California","$5200"
"Tierney John F (D-MA)","Massachusetts","$5200"
"Franks Trent (R-AZ)","Arizona","$5100"
"Black Diane (R-TN)","Tennessee","$5000"
"Brady Robert A (D-PA)","Pennsylvania","$5000"
"Byrne Bradley (R-AL)","Alabama","$5000"
"Conaway Mike (R-TX)","Texas","$5000"
"Foxx Virginia (R-NC)","North Carolina","$5000"
"Gerlach Jim (R-PA)","Pennsylvania","$5000"
"Griffith Morgan (R-VA)","Virginia","$5000"
"Higgins Brian M (D-NY)","New York","$5000"
"Lujan Ben Ray (D-NM)","New Mexico","$5000"
"Reichert Dave (R-WA)","Washington","$5000"
"Westmoreland Lynn A (R-GA)","Georgia","$5000"
"Nunnelee Alan (R-MS)","Mississippi","$4600"
"Barletta Lou (R-PA)","Pennsylvania","$4500"
"Gallego Pete (D-TX)","Texas","$4500"
"Hastings Doc (R-WA)","Washington","$4500"
"Salmon Matt (R-AZ)","Arizona","$4500"
"Huelskamp Tim (R-KS)","Kansas","$4250"
"Fleischmann Chuck (R-TN)","Tennessee","$4000"
"Jordan Jim (R-OH)","Ohio","$4000"
"Lamborn Doug (R-CO)","Colorado","$4000"
"Luetkemeyer Blaine (R-MO)","Missouri","$4000"
"Matsui Doris (D-CA)","California","$4000"
"McClintock Tom (R-CA)","California","$4000"
"Miller Candice S (R-MI)","Michigan","$4000"
"Neal Richard E (D-MA)","Massachusetts","$4000"
"Palazzo Steven (R-MS)","Mississippi","$4000"
"Rigell Scott (R-VA)","Virginia","$4000"
"Veasey Marc (D-TX)","Texas","$4000"
"Stockman Steve (R-TX)","Texas","$3850"
"Hanna Richard (R-NY)","New York","$3600"
"Bridenstine James (R-OK)","Oklahoma","$3500"
"Johnson Eddie Bernice (D-TX)","Texas","$3500"
"King Steven A (R-IA)","Iowa","$3500"
"Pierluisi Pedro (D-PR)","Puerto Rico","$3500"
"Rogers Mike (R-MI)","Michigan","$3500"
"Tonko Paul (D-NY)","New York","$3500"
"Chaffetz Jason (R-UT)","Utah","$3250"
"Goodlatte Bob (R-VA)","Virginia","$3250"
"Foster Bill (D-IL)","Illinois","$3100"
"Alexander Rodney (R-LA)","Louisiana","$3000"
"Buchanan Vernon (R-FL)","Florida","$3000"
"Butterfield G K (D-NC)","North Carolina","$3000"
"Castro Joaquin (D-TX)","Texas","$3000"
"Connolly Gerry (D-VA)","Virginia","$3000"
"Edwards Donna (D-MD)","Maryland","$3000"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$3000"
"Grimm Michael (R-NY)","New York","$3000"
"Kaptur Marcy (D-OH)","Ohio","$3000"
"Labrador Raul (R-ID)","Idaho","$3000"
"Loebsack David (D-IA)","Iowa","$3000"
"Lowenthal Alan (D-CA)","California","$3000"
"McIntyre Mike (D-NC)","North Carolina","$3000"
"Moran Jim (D-VA)","Virginia","$3000"
"Norton Eleanor Holmes (D-DC)","District of Columbia","$3000"
"Ribble Reid (R-WI)","Wisconsin","$3000"
"Roby Martha (R-AL)","Alabama","$3000"
"Ruiz Raul (D-CA)","California","$3000"
"Sires Albio (D-NJ)","New Jersey","$3000"
"Smith Adrian (R-NE)","Nebraska","$3000"
"Valadao David (R-CA)","California","$3000"
"Wittman Rob (R-VA)","Virginia","$3000"
"Amodei Mark (R-NV)","Nevada","$2500"
"Becerra Xavier (D-CA)","California","$2500"
"Calvert Ken (R-CA)","California","$2500"
"Delaney John K (D-MD)","Maryland","$2500"
"Duckworth Tammy (D-IL)","Illinois","$2500"
"Fattah Chaka (D-PA)","Pennsylvania","$2500"
"Gingrey Phil (R-GA)","Georgia","$2500"
"Holding George (R-NC)","North Carolina","$2500"
"Horsford Steven (D-NV)","Nevada","$2500"
"Keating Bill (D-MA)","Massachusetts","$2500"
"Peters Scott (D-CA)","California","$2500"
"Rice Tom (R-SC)","South Carolina","$2500"
"Schrader Kurt (D-OR)","Oregon","$2500"
"Sinema Kyrsten (D-AZ)","Arizona","$2500"
"Harris Andy (R-MD)","Maryland","$2250"
"Beutler Jaime Herrera (R-WA)","Washington","$2000"
"Blumenauer Earl (D-OR)","Oregon","$2000"
"Bustos Cheri (D-IL)","Illinois","$2000"
"Clyburn James E (D-SC)","South Carolina","$2000"
"Collins Doug (R-GA)","Georgia","$2000"
"Crawford Rick (R-AR)","Arkansas","$2000"
"Forbes Randy (R-VA)","Virginia","$2000"
"Gohmert Louis B Jr (R-TX)","Texas","$2000"
"Graves Sam (R-MO)","Missouri","$2000"
"King Pete (R-NY)","New York","$2000"
"Latham Tom (R-IA)","Iowa","$2000"
"Levin Sander (D-MI)","Michigan","$2000"
"Long Billy (R-MO)","Missouri","$2000"
"McNerney Jerry (D-CA)","California","$2000"
"Meeks Gregory (D-NY)","New York","$2000"
"Pascrell Bill Jr (D-NJ)","New Jersey","$2000"
