"Representative","Party","District","Vote"
"Byrne, Bradley","R","AL-01","-"
"Roby, Martha","R","AL-02","-"
"Rogers, Mike D.","R","AL-03","-"
"Aderholt, Robert B.","R","AL-04","-"
"Brooks, Mo","R","AL-05","-"
"Palmer, Gary","R","AL-06","-"
"Sewell, Terri","D","AL-07","+"
"Young, Don","R","AK-AL","-"
"Radewagen, Amata Coleman","R","AS-AL","-"
"O'Halleran, Tom","D","AZ-01","+"
"Kirkpatrick, Ann","D","AZ-02",""
"Grijalva, Raul","D","AZ-03","+"
"Gosar, Paul","R","AZ-04","-"
"Biggs, Andy","R","AZ-05","-"
"Schweikert, David","R","AZ-06","-"
"Gallego, Ruben","D","AZ-07","+"
"Lesko, Debbie","R","AZ-08","-"
"Stanton, Greg","D","AZ-09","+"
"Crawford, Rick","R","AR-01","-"
"Hill, French","R","AR-02","-"
"Womack, Steve","R","AR-03","-"
"Westerman, Bruce","R","AR-04","-"
"LaMalfa, Doug","R","CA-01","-"
"Huffman, Jared","D","CA-02","+"
"Garamendi, John","D","CA-03","+"
"McClintock, Tom","R","CA-04","-"
"Thompson, Mike","D","CA-05","+"
"Matsui, Doris O.","D","CA-06","+"
"Bera, Ami","D","CA-07","+"
"Cook, Paul","R","CA-08","-"
"McNerney, Jerry","D","CA-09","+"
"Harder, Josh","D","CA-10","+"
"DeSaulnier, Mark","D","CA-11","+"
"Pelosi, Nancy","D","CA-12","n/a"
"Lee, Barbara J.","D","CA-13","+"
"Speier, Jackie","D","CA-14","+"
"Swalwell, Eric","D","CA-15","?"
"Costa, Jim","D","CA-16","-"
"Khanna, Ro","D","CA-17","+"
"Eshoo, Anna G.","D","CA-18","+"
"Lofgren, Zoe","D","CA-19","+"
"Panetta, Jimmy","D","CA-20","+"
"Cox, TJ","D","CA-21","+"
"Nunes, Devin G.","R","CA-22","-"
"McCarthy, Kevin","R","CA-23","-"
"Carbajal, Salud","D","CA-24","+"
"Hill, Katie","D","CA-25","+"
"Brownley, Julia","D","CA-26","+"
"Chu, Judy M.","D","CA-27","+"
"Schiff, Adam B.","D","CA-28","+"
"Cárdenas, Tony","D","CA-29","+"
"Sherman, Brad J.","D","CA-30","+"
"Aguilar, Pete","D","CA-31","+"
"Napolitano, Grace","D","CA-32","+"
"Lieu, Ted","D","CA-33","+"
"Gomez, Jimmy","D","CA-34","+"
"Torres, Norma","D","CA-35","+"
"Ruiz, Raul","D","CA-36","+"
"Bass, Karen","D","CA-37","+"
"Sanchez, Linda","D","CA-38","+"
"Cisneros, Gilbert","D","CA-39","+"
"Roybal-Allard, Lucille","D","CA-40","+"
"Takano, Mark","D","CA-41","+"
"Calvert, Ken S.","R","CA-42","-"
"Waters, Maxine","D","CA-43","+"
"Barragán, Nanette","D","CA-44","+"
"Porter, Katie","D","CA-45","+"
"Correa, J.","D","CA-46","+"
"Lowenthal, Alan S.","D","CA-47","+"
"Rouda, Harley","D","CA-48","+"
"Levin, Mike","D","CA-49","+"
"Hunter, Duncan D.","R","CA-50","-"
"Vargas, Juan","D","CA-51","+"
"Peters, Scott H.","D","CA-52","+"
"Davis, Susan A.","D","CA-53","+"
"DeGette, Diana L.","D","CO-01","+"
"Neguse, Joe","D","CO-02","+"
"Tipton, Scott","R","CO-03","-"
"Buck, Ken","R","CO-04","-"
"Lamborn, Doug","R","CO-05","-"
"Crow, Jason","D","CO-06","+"
"Perlmutter, Ed","D","CO-07","+"
"Larson, John B.","D","CT-01","+"
"Courtney, Joe","D","CT-02","+"
"DeLauro, Rosa L.","D","CT-03","+"
